Accession,Kingdom,Ncbi.Phylum,Ncbi.Class,Ncbi.Order,Ncbi.Family,Ncbi.Genus,Ncbi.Species,Strain,Sequencing_coverage,Scaffolds_number,Scaffold_N50,Scaffold_L50,Genome_size,Exo_amylase,Endo_amylase,Exo_cellulase,Endo_cellulase,Exo_hemicellulose,Endo_hemicellulose,Exo_chitosanase,Endo_chitosanase,Ligninase,TEA_Oxygen,TEA_Nitrate,TEA_Sulfite
GCA_033458365.1,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora hispaniola,Neurospora hispaniola FGSC 10403,128.45,23,4340205,4,40807401,1,2,11,4,6,6,3,7,0,0,0,0
GCA_040412205.1,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora intermedia,Neurospora intermedia FGSC 2613,96.13,21,4276046,4,39262359,1,4,10,4,5,6,3,8,0,0,0,0
GCA_000213175.1,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora tetrasperma,Neurospora tetrasperma FGSC 2508,31.29,81,5681182,3,38490894,1,2,11,4,6,6,3,7,0,0,0,0
GCA_033439725.1,Fungi,Ascomycota,Sordariomycetes,Sordariales,Sordariaceae,Neurospora,Neurospora tetraspora,Neurospora tetraspora CBS 560.94,107.74,23,4899046,4,43856413,2,2,11,5,6,9,3,10,0,0,0,0
GCA_036872755.1,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,Orbilia blumenaviensis,Orbilia blumenaviensis TWF730,143,23,2473961,6,42458278,3,1,10,7,9,12,2,8,0,0,0,0
GCA_036872635.1,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,Orbilia brochopaga,Orbilia brochopaga TWF696,138,23,2671218,6,36324335,2,1,9,5,5,9,2,6,0,0,0,0
GCA_036971675.1,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,Orbilia ellipsospora,Orbilia ellipsospora TWF694,61,27,2073609,8,39060477,3,2,12,9,16,15,2,6,0,0,0,0
GCA_036872735.1,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,Orbilia javanica,Orbilia javanica TWF718,147,17,4184571,4,40706343,3,1,10,7,7,15,2,11,0,0,0,0
GCA_004768765.1,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,Orbilia oligospora,Orbilia oligospora TWF154,130,10,5390931,3,39619008,3,1,10,10,8,14,2,10,0,0,0,0
GCA_011066845.1,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,Orbilia oligospora,Orbilia oligospora TWF970,32,191,669589,16,39413184,3,1,10,9,7,14,3,12,0,0,0,0
GCA_028826965.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium alfredii,Penicillium alfredii IBT 34128,62,11,3327006,4,27430394,1,2,6,1,7,5,3,6,0,0,0,0
GCA_028827245.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium angulare,Penicillium angulare IBT 27051,80,12,5070470,3,37782843,3,4,18,5,16,10,7,14,0,0,0,0
GCA_028826755.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium angulare,Penicillium angulare IBT 30069,74,12,5061202,3,38603916,2,4,21,5,22,11,7,21,0,0,0,0
GCA_028974205.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium antarcticum,Penicillium antarcticum IBT 31339,193,11,3813293,3,30836278,1,5,18,7,12,10,7,13,0,0,0,0
GCA_028826775.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium argentinense,Penicillium argentinense IBT 30761,45,11,5062079,3,33838379,3,6,16,4,15,12,8,11,0,0,0,0
GCA_028827265.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium atrosanguineum,Penicillium atrosanguineum IBT 20685,50,8,3894271,4,28612168,3,4,17,5,18,10,6,8,0,0,0,0
GCA_028827005.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium atrosanguineum,Penicillium atrosanguineum IBT 21472,50,10,3785589,4,30880235,3,3,17,5,19,10,6,9,0,0,0,0
GCA_028826785.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium atrosanguineum,Penicillium atrosanguineum IBT 31632,48,16,3482637,4,30046757,3,4,16,5,17,10,6,10,0,0,0,0
GCA_028826765.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium atrosanguineum,Penicillium atrosanguineum IBT 34669,130,10,3846029,4,30509980,3,4,17,5,19,10,6,9,0,0,0,0
GCA_902713515.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium bialowiezense,Penicillium bialowiezense NA,439,113,563120,16,29196028,1,4,21,7,16,8,4,12,0,0,0,0
GCA_028826915.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium bovifimosum,Penicillium bovifimosum IBT 22155,73,9,3348542,3,27188871,2,2,9,3,12,8,6,27,0,0,0,0
GCA_001048715.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium brasilianum,Penicillium brasilianum NA,205,87,3363074,5,35629036,3,4,17,9,19,11,8,13,0,0,0,0
GCA_028827555.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium brevicompactum,Penicillium brevicompactum IBT 35665,120,9,6130730,3,34726155,1,4,21,4,15,10,4,15,0,0,0,0
GCA_028827255.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium brevicompactum,Penicillium brevicompactum IBT 35673,213,6,6143785,3,29909766,1,4,18,4,15,8,4,11,0,0,0,0
GCA_028827515.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium brevicompactum,Penicillium brevicompactum IBT 35675,165,8,5201747,3,32518670,1,4,19,5,15,8,4,8,0,0,0,0
GCA_000513335.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium camemberti,Penicillium camemberti FM 013,75,180,947716,11,34008276,2,6,17,8,14,12,7,18,1,0,0,0
GCA_028826845.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium canariense,Penicillium canariense IBT 26290,89,9,4795020,3,31521451,1,2,11,6,17,6,7,13,0,0,0,0
GCA_028829005.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium canescens,Penicillium canescens IBT 13549,55,15,3697658,4,41574211,1,4,24,8,19,13,6,20,0,0,0,0
GCA_028828745.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium canescens,Penicillium canescens IBT 15449,36,23,3385166,6,46485972,1,4,28,8,20,13,6,27,0,0,0,0
GCA_028828735.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium canescens,Penicillium canescens IBT 15450,54,18,4097024,5,46355660,1,5,28,8,20,13,6,11,0,0,0,0
GCA_028828765.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium canescens,Penicillium canescens IBT 15451,31,15,4366774,5,46284494,1,4,28,8,20,13,6,18,0,0,0,0
GCA_028829745.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium canescens,Penicillium canescens IBT 15452,46,21,3672962,5,46501943,1,5,24,7,19,13,6,28,0,0,0,0
GCA_028828795.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium canescens,Penicillium canescens IBT 18980,43,20,3670552,5,41773848,1,5,24,8,19,13,6,15,0,0,0,0
GCA_028828825.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium canescens,Penicillium canescens IBT 19259,106,10,3493872,4,32834794,2,5,21,8,18,14,6,16,0,0,0,0
GCA_028826875.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium capsulatum,Penicillium capsulatum IBT 21917,93,10,4701675,3,27537137,2,4,7,3,7,5,6,5,0,0,0,0
GCA_028828875.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium capsulatum,Penicillium capsulatum IBT 29712,71,9,4707077,3,27651227,2,4,7,2,8,5,6,5,0,0,0,0
GCA_028827025.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium cataractarum,Penicillium cataractarum IBT 29864,105,11,4659271,4,37446941,4,3,27,10,27,12,8,11,0,0,0,0
GCA_028826995.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium cf.,Penicillium cf. IBT 16848,30,10,4294340,4,29797777,2,5,10,5,15,13,7,15,0,0,0,0
GCA_028974015.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium cf.,Penicillium cf. IBT 16849,75,8,5598030,3,29823847,2,5,10,5,14,13,7,16,0,0,0,0
GCA_028827235.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium cf.,Penicillium cf. IBT 17755,56,12,3542482,3,29442304,2,4,10,5,13,13,7,16,0,0,0,0
GCA_028974045.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium cf.,Penicillium cf. IBT 20477,78,10,4582560,4,35226502,2,6,16,4,14,13,6,13,1,0,0,0
GCA_028974085.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium chermesinum,Penicillium chermesinum IBT 19713,30,10,4118209,3,27581382,2,2,6,3,7,7,6,10,0,0,0,0
GCA_028828955.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium chrysogenum,Penicillium chrysogenum IBT 17219,45,11,4185089,3,33624001,2,5,13,6,11,14,6,8,0,0,0,0
GCA_028826945.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium chrysogenum,Penicillium chrysogenum IBT 19737,284,15,4879500,3,35181384,2,6,13,6,12,13,6,17,0,0,0,0
GCA_028827015.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium chrysogenum,Penicillium chrysogenum IBT 3361,205,11,4644700,3,33906189,2,4,13,6,12,14,6,8,0,0,0,0
GCA_028827035.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium chrysogenum,Penicillium chrysogenum IBT 35668,103,4,9490807,2,32379777,2,6,13,6,12,14,6,9,0,0,0,0
GCA_000710275.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium chrysogenum,Penicillium chrysogenum P2niaD18,110,4,10455807,2,32497224,2,4,14,6,12,14,7,11,0,0,0,0
GCA_028974065.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium cinerascens,Penicillium cinerascens IBT 15544,180,16,3994343,4,29467041,3,4,11,6,13,6,6,12,0,0,0,0
GCA_036320845.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium citrinum,Penicillium citrinum B9,316.8,9,3360406,4,31333751,2,3,13,2,18,6,3,14,0,0,0,0
GCA_028827155.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium citrinum,Penicillium citrinum IBT 23319,168,12,3834662,4,31396546,2,4,16,3,15,8,5,10,0,0,0,0
GCA_028827145.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium concentricum,Penicillium concentricum IBT 3081,104,6,9135964,2,29963931,2,5,14,7,15,10,7,11,1,0,0,0
GCA_002072405.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium coprophilum,Penicillium coprophilum IBT 31321,150,91,2122312,5,28353863,2,3,10,3,6,10,6,8,0,0,0,0
GCA_028826855.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium coprophilum,Penicillium coprophilum IBT 35676,193,7,4172608,3,29014640,2,5,13,5,13,10,7,9,0,0,0,0
GCA_028827165.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium cosmopolitanum,Penicillium cosmopolitanum IBT 29677,193,13,4365462,4,40034523,2,4,22,5,24,10,6,17,0,0,0,0
GCA_028827405.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium crustosum,Penicillium crustosum IBT 35664,137,11,9362940,2,32953279,2,6,21,8,16,12,7,10,1,0,0,0
GCA_043643955.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium crustosum,Penicillium crustosum PRB-2,129,143,2597329,4,31992366,2,6,22,8,16,12,7,11,1,0,0,0
GCA_028827525.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium daleae,Penicillium daleae IBT 16125,44,10,4752356,3,39657045,4,3,21,10,35,13,6,14,0,0,0,0
GCA_028827375.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium desertorum,Penicillium desertorum IBT 17660,147,14,5473808,3,33986870,5,6,13,7,12,13,6,15,0,0,0,0
GCA_028827545.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium diatomitis,Penicillium diatomitis IBT 30728,94,19,3372961,5,33965862,2,2,9,4,14,12,5,8,0,0,0,0
GCA_012295545.2,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium digitatum,Penicillium digitatum DSM 62840,125,31,6602426,2,26573240,1,3,11,5,6,4,5,6,0,0,0,0
GCA_016767815.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium digitatum,Penicillium digitatum PdW03,584,6,4123518,3,26336737,1,3,11,5,6,5,5,6,0,0,0,0
GCA_022829055.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium expansum,Penicillium expansum NA,100,154,980978,12,32511896,2,5,22,7,15,10,7,12,1,0,0,0
GCA_028828255.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium fimorum,Penicillium fimorum IBT 29495,59,7,8023479,2,28556969,2,5,10,7,13,10,7,9,0,0,0,0
GCA_028827385.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium freii,Penicillium freii IBT 34325,78,6,8219394,2,35356366,2,6,12,5,16,13,6,13,0,0,0,0
GCA_028828275.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium frequentans,Penicillium frequentans IBT 35677,94,15,4680361,4,38045409,3,4,18,5,18,13,6,13,0,0,0,0
GCA_028827865.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium frequentans,Penicillium frequentans IBT 35679,95,11,4560428,4,36177675,3,4,18,5,18,12,6,17,0,0,0,0
GCA_001561935.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium griseofulvum,Penicillium griseofulvum PG3,270,92,2267136,4,29140916,2,5,11,3,16,13,7,12,0,0,0,0
GCA_028828265.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium herquei,Penicillium herquei IBT 20771,88,21,2894492,5,33697684,2,2,16,4,19,11,5,19,0,0,0,0
GCA_028828675.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium herquei,Penicillium herquei IBT 29812,100,11,5067678,3,37080134,4,4,24,4,21,10,5,25,0,0,0,0
GCA_028827645.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium hetheringtonii,Penicillium hetheringtonii IBT 29057,106,10,4061132,4,31629319,2,4,18,3,19,10,5,16,0,0,0,0
GCA_028827665.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium hispanicum,Penicillium hispanicum IBT 35686,132,9,3706033,4,27868179,1,4,8,2,10,7,4,6,0,0,0,0
GCA_028827395.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium hordei,Penicillium hordei IBT 12815,79,6,5075260,3,33792161,2,6,13,6,13,13,6,13,0,0,0,0
GCA_028827675.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium lagena,Penicillium lagena IBT 129212,56,9,3555488,3,27859125,4,1,21,7,41,9,8,5,0,0,0,0
GCA_028828245.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium lividum,Penicillium lividum IBT 13676,129,11,5167816,3,34532832,3,5,21,5,20,9,6,18,0,0,0,0
GCA_028827895.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium longicatenatum,Penicillium longicatenatum IBT 33135,72,7,4747519,3,32457776,4,5,22,7,21,12,6,17,0,0,0,0
GCA_028827875.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium longicatenatum,Penicillium longicatenatum IBT 33191,118,9,4930178,3,32311308,4,4,21,8,21,12,6,19,0,0,0,0
GCA_028827695.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium maclennaniae,Penicillium maclennaniae IBT 15551,40,8,3554904,3,27935234,2,4,9,3,13,11,5,5,0,0,0,0
GCA_028827735.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium macrosclerotiorum,Penicillium macrosclerotiorum IBT 26536,52,12,3913342,4,33645934,2,5,23,6,15,7,7,11,0,0,0,0
GCA_028828285.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium majusculum,Penicillium majusculum IBT 35410,70,6,9515948,2,33834515,2,6,19,7,12,13,7,16,1,0,0,0
GCA_028827775.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium malachiteum,Penicillium malachiteum IBT 13176,93,8,6248290,3,34863708,4,5,18,7,22,12,6,16,0,0,0,0
GCA_028827825.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium malachiteum,Penicillium malachiteum IBT 17515,90,6,8186553,3,35880773,4,5,17,6,21,12,6,17,0,0,0,0
GCA_028828005.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium manginii,Penicillium manginii IBT 31320,129,14,4165902,4,38623079,2,6,20,6,26,12,6,15,0,0,0,0
GCA_028829835.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium mononematosum,Penicillium mononematosum IBT 11891,42,4,8177327,2,30158902,3,5,14,6,16,14,7,9,0,0,0,0
GCA_911456355.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium nalgiovense,Penicillium nalgiovense NA,52,41,3176469,4,34560068,2,5,11,5,13,14,5,11,0,0,0,0
GCA_028828085.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium nucicola,Penicillium nucicola IBT 29836,136,17,4788641,3,31087567,1,4,22,9,15,11,7,14,1,0,0,0
GCA_028828045.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium odoratum,Penicillium odoratum IBT 22623,108,7,4898923,3,32405987,3,5,20,6,15,10,5,13,0,0,0,0
GCA_911150065.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium olsonii,Penicillium olsonii NA,31,100,584105,17,28772301,1,3,23,6,17,8,4,8,0,0,0,0
GCA_001723175.3,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium oxalicum,Penicillium oxalicum HP7-1,327,18,4068681,4,30793372,2,2,9,5,14,11,5,15,0,0,0,0
GCA_028828445.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium paradoxum,Penicillium paradoxum IBT 22861,72,6,5331884,3,28923777,0,5,9,5,9,6,7,8,0,0,0,0
GCA_002072265.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium polonicum,Penicillium polonicum IBT 4502,137.5,74,1891852,6,32365395,2,5,13,7,15,13,6,11,0,0,0,0
GCA_964197705.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium psychrofluorescens,Penicillium psychrofluorescens NA,59,8,4459645,3,26257727,4,0,14,5,27,9,8,5,0,0,0,0
GCA_028828465.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium psychrosexuale,Penicillium psychrosexuale IBT 29551,168,8,7382026,2,27827857,2,3,9,2,7,6,6,12,0,0,0,0
GCA_028828015.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium pulvis,Penicillium pulvis IBT 33274,70,8,4649848,3,32647626,3,3,20,5,16,12,6,9,0,0,0,0
GCA_028828495.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium riverlandense,Penicillium riverlandense IBT 135883,139,8,3470598,3,27919989,4,3,20,6,35,11,8,5,0,0,0,0
GCA_028829455.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium robsamsonii,Penicillium robsamsonii IBT 29466,144,12,7219582,2,29159420,2,4,11,3,12,11,7,8,0,0,0,0
GCA_011392555.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium rolfsii,Penicillium rolfsii F1880,100,27,3147738,4,32167788,2,4,18,7,20,12,5,13,0,0,0,0
GCA_023141315.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,Penicillium roqueforti CBS 147309,129,70,831264,9,27042016,1,3,8,3,7,6,6,13,0,0,0,0
GCA_023141305.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,Penicillium roqueforti CBS 147310,124,91,889993,11,27254792,1,3,9,3,7,6,6,13,0,0,0,0
GCA_023138675.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,Penicillium roqueforti CBS 147317,105,58,1225265,6,26719157,1,3,9,3,7,6,6,12,0,0,0,0
GCA_023065495.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,Penicillium roqueforti CBS 147318,105,46,1526950,5,27208435,1,3,9,3,7,6,6,13,0,0,0,0
GCA_023138645.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,Penicillium roqueforti CBS 147325,106,140,658569,13,28927521,1,3,8,3,7,6,6,19,0,0,0,0
GCA_023138615.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,Penicillium roqueforti CBS 147326,101,178,678050,13,28488892,1,3,8,3,7,6,6,15,0,0,0,0
GCA_023138445.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,Penicillium roqueforti CBS 147330,103,172,719157,11,28024187,1,3,9,3,7,6,6,16,0,0,0,0
GCA_023138355.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,Penicillium roqueforti CBS 147331,128,56,1032236,9,26501700,1,3,8,3,7,6,6,9,0,0,0,0
GCA_023065595.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,Penicillium roqueforti CBS 147332,109,53,1110228,8,26503271,1,3,8,3,7,6,6,9,0,0,0,0
GCA_023137995.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,Penicillium roqueforti CBS 147339,129,103,630210,12,28417184,1,3,9,3,7,6,6,17,0,0,0,0
GCA_023065465.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,Penicillium roqueforti CBS 147354,93,155,465303,17,28254581,1,3,8,3,7,6,6,18,0,0,0,0
GCA_023065415.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,Penicillium roqueforti CBS 147355,109,61,1235589,8,27164722,1,3,9,3,7,6,6,13,0,0,0,0
GCA_023091085.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,Penicillium roqueforti CBS 147372,103,65,1053536,7,26731792,1,3,9,3,7,6,6,12,0,0,0,0
GCA_023141515.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,Penicillium roqueforti DTO 002-I6,101,129,629276,14,29448402,1,3,9,3,8,7,6,20,0,0,0,0
GCA_023065655.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,Penicillium roqueforti DTO 006-G1,125,108,674982,14,27936011,1,3,9,3,7,6,6,14,0,0,0,0
GCA_023141355.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,Penicillium roqueforti DTO 006-G7,123,99,612215,12,27938360,1,3,9,3,7,6,6,14,0,0,0,0
GCA_023065685.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,Penicillium roqueforti DTO 012-A1,118,157,605270,15,29337942,1,3,9,3,7,6,6,19,0,0,0,0
GCA_023141275.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,Penicillium roqueforti DTO 012-A7,126,61,939761,10,27298295,1,3,8,3,7,6,6,14,0,0,0,0
GCA_023141195.1,Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Aspergillaceae,Penicillium,Penicillium roqueforti,Penicillium roqueforti DTO 013-E5,105,164,620266,15,29238913,1,3,9,3,7,6,6,19,0,0,0,0
